Save Set Details by Client

Server Name: all
Group Name: all
Client Name: all
Save Set Name: all
Status: all
Backup Type: all
Level: all
Group Start Time: from earliest available to 12/4/08 4:54:51 PM

Client Name,Save Set Name,Save Set ID,Group Start Time,Save Type,Level,Status
jfa06,/home/fee/databk,3593047183,11/24/08 1:00:00 AM,save,full,succeeded
jfa06,/home/fee/databk,3040176646,12/3/08 1:00:00 AM,save,full,succeeded
jfa06,/home/fee/databk,3541505925,11/10/08 1:00:00 AM,save,full,succeeded
jfa06,/home/fee/databk,858792921,11/29/08 1:00:00 AM,save,full,succeeded
jfa06,/home/fee/databk,3744733343,12/2/08 1:00:00 AM,save,full,succeeded
jfa06,/home/fee/databk,2569809788,11/26/08 1:00:00 AM,save,full,succeeded
jfa06,/home/fee/databk,1496240712,11/28/08 1:00:00 AM,save,full,succeeded
jfa06,/home/fee/databk,2804258758,11/21/08 1:00:00 AM,save,full,succeeded
jfa06,/home/fee/databk,3373560978,11/8/08 1:00:00 AM,save,full,succeeded
jfa06,/home/fee/databk,2618413402,11/6/08 1:00:00 AM,save,full,succeeded
jfa06,/home/fee/databk,2066579687,11/27/08 1:00:00 AM,save,full,succeeded
jfa06,/home/fee/databk,3089817114,11/25/08 1:00:00 AM,save,full,succeeded
jfa06,/home/fee/databk,2268511088,12/4/08 1:00:00 AM,save,full,succeeded
jfa06,/home/fee/databk,3171975117,11/5/08 1:00:00 AM,save,full,succeeded
jfa06,/home/fee/databk,4264740619,12/1/08 1:00:00 AM,save,full,succeeded
jfa06,/home/fee/databk,1176264006,11/14/08 1:00:00 AM,save,full,succeeded
jfa06,/home/fee/databk,1796416251,11/7/08 1:00:00 AM,save,full,succeeded
jfa06,/home/fee/databk,1730084979,11/16/08 1:00:00 AM,save,full,succeeded
jfa06,/home/fee/databk,1914375119,11/13/08 1:00:00 AM,save,full,succeeded
jfa06,/home/fee/databk,2987944176,11/11/08 1:00:00 AM,save,full,succeeded
jfa06,/home/fee/databk,86090651,11/18/08 1:00:00 AM,save,full,succeeded
jfa06,/home/fee/databk,170322269,11/22/08 1:00:00 AM,save,full,succeeded
p570a,/dev/rxz_control01,974402909,11/7/08 8:28:26 PM,save,full,succeeded
p570a,/dev/rxz_control01,505245561,11/14/08 8:28:29 PM,save,full,succeeded
p570a,/dev/rxz_control01,2250681684,11/21/08 8:42:22 PM,save,full,succeeded
p570a,/dev/rxz_control02,1125397743,11/7/08 8:28:26 PM,save,full,succeeded
p570a,/dev/rxz_control02,2301013326,11/21/08 8:42:22 PM,save,full,succeeded
p570a,/dev/rxz_control02,236810189,11/14/08 8:28:29 PM,save,full,succeeded
p570a,/dev/rxz_control03,2284236110,11/21/08 8:42:22 PM,save,full,succeeded
p570a,/dev/rxz_control03,1192506583,11/7/08 8:28:26 PM,save,full,succeeded
p570a,/dev/rxz_control03,320696249,11/14/08 8:28:29 PM,save,full,succeeded
p570a,/dev/rxz_data10g_01,454913914,11/14/08 8:28:29 PM,save,full,succeeded
p570a,/dev/rxz_data10g_01,1142174958,11/7/08 8:28:26 PM,save,full,succeeded
p570a,/dev/rxz_data10g_01,2183572828,11/21/08 8:42:22 PM,save,full,succeeded
p570a,/dev/rxz_data10g_02,2099686771,11/21/08 8:42:22 PM,save,full,succeeded
p570a,/dev/rxz_data10g_02,337473465,11/14/08 8:28:29 PM,save,full,succeeded
p570a,/dev/rxz_data10g_02,1024734515,11/7/08 8:28:26 PM,save,full,succeeded
