Save Set Details

Server Name: all
Group Name: all
Client Name: all
Save Set Name: all
Backup Type: all
Level: all
Save Time: from earliest available to 12/4/08 4:53:46 PM

Save Set Name,Save Time,Save Set ID,Level,Duration,Save Set Size,Number of Files
/arcbk/,12/9/07 12:32:13 AM,3898263182, ,26,1607987352,33
/arcbk/,12/9/07 1:03:09 AM,3881487826, ,37,2143907560,34
/arcbk/,12/9/07 1:51:14 AM,3831159070, ,224,13934147328,56
/arcbk/,12/9/07 2:46:06 AM,3780830757, ,193,10718629360,50
/arcbk/,12/9/07 3:02:11 AM,3764054374, ,30,1607987300,33
/arcbk/,12/9/07 3:31:36 AM,3730501808, ,18,1072068796,32
/arcbk/,12/9/07 6:31:32 AM,3646626507, ,18,1072068964,32
/arcbk/,12/9/07 9:01:34 AM,3579526635, ,18,1072069104,32
/arcbk/,12/9/07 10:01:36 AM,3545975803, ,18,1072069188,32
/arcbk/,12/9/07 10:31:38 AM,3529200386, ,18,1072069244,32
/arcbk/,12/9/07 11:01:32 AM,3512424954, ,19,1072069300,32
/arcbk/,12/9/07 12:03:08 PM,3478874215, ,36,2143909632,34
/arcbk/,12/9/07 12:33:03 PM,3462098784, ,35,2143909744,34
/arcbk/,12/9/07 3:01:37 PM,3378221605, ,19,1072069720,32
/arcbk/,12/9/07 4:01:37 PM,3344670784, ,19,1072069804,32
/arcbk/,12/9/07 5:02:26 PM,3311120009, ,29,1607990012,33
/arcbk/,12/9/07 8:31:14 PM,3210469258, ,16,877378728,32
/arcbk/,12/10/07 12:31:36 AM,3093043178, ,21,1072070336,32
/arcbk/,12/10/07 1:02:21 AM,3076267810, ,28,1607990516,33
/arcbk/,12/10/07 1:54:53 AM,3025939322, ,274,16613734616,61
/arcbk/,12/10/07 2:32:22 AM,2975609960, ,27,1607991468,33
/arcbk/,12/10/07 3:02:24 AM,2958834536, ,26,1607987968,33
/arcbk/,12/10/07 9:02:18 AM,2774306736, ,26,1607991888,33
/arcbk/,12/10/07 9:31:31 AM,2757531267, ,18,1072071848,32
/arcbk/,12/10/07 10:01:28 AM,2740755848, ,21,1072071904,32
/arcbk/,12/10/07 10:31:35 AM,2723980428, ,21,1072071960,32
/arcbk/,12/10/07 11:01:31 AM,2707205008, ,22,1072072016,32
/arcbk/,12/10/07 11:32:15 AM,2690429635, ,29,1607992196,33
/arcbk/,12/10/07 3:01:33 PM,2573001653, ,18,1072072324,32
/arcbk/,12/10/07 4:01:36 PM,2539450821, ,19,1072072408,32
/arcbk/,12/10/07 5:01:39 PM,2505899986, ,19,1072072492,32
/arcbk/,12/10/07 7:32:22 PM,2438800159, ,26,1607992756,33
/arcbk/,12/10/07 8:31:18 PM,2405249272, ,15,890278444,32
/arcbk/,12/11/07 1:03:15 AM,2271047875, ,35,2143911196,34
/arcbk/,12/11/07 1:52:45 AM,2220719204, ,243,15005983188,59
/arcbk/,12/11/07 2:33:57 AM,2170390076, ,43,2679832384,36
/arcbk/,12/11/07 3:01:38 AM,2153614530, ,18,1072074200,33
/arcbk/,12/11/07 10:01:37 AM,1918758692, ,21,1072072032,33
/arcbk/,12/11/07 10:31:35 AM,1901983271, ,21,1072074648,33
/arcbk/,12/11/07 11:02:17 AM,1885207895, ,28,1607994828,34
/arcbk/,12/11/07 11:31:39 AM,1868432436, ,18,1072074788,33
/arcbk/,12/11/07 12:32:19 PM,1834881632, ,28,1607994996,34
/arcbk/,12/11/07 1:32:21 PM,1801330797, ,28,1607994084,34
/arcbk/,12/11/07 2:01:35 PM,1784555331, ,19,1072074556,33
/arcbk/,12/11/07 2:31:28 PM,1767779897, ,18,1072075124,33
/arcbk/,12/11/07 3:02:21 PM,1751004537, ,27,1607995304,34
/arcbk/,12/11/07 3:31:36 PM,1734229069, ,18,1072075264,33
/arcbk/,12/11/07 4:01:33 PM,1717453644, ,18,1072075320,33
/arcbk/,12/11/07 4:31:36 PM,1700678228, ,18,1072075376,33
/arcbk/,12/11/07 5:02:23 PM,1683902858, ,27,1607985828,34
/arcbk/,12/11/07 6:01:36 PM,1650351966, ,18,1072075544,33
/arcbk/,12/11/07 6:31:29 PM,1633576538, ,18,1072075600,33
/arcbk/,12/11/07 7:01:35 PM,1616801128, ,18,1072075656,33
/arcbk/,12/11/07 8:01:37 PM,1583250303, ,18,1072075740,33
/arcbk/,12/11/07 8:31:25 PM,1566474880, ,16,913905600,34
